x,y
128.47328964559114,403.9104416100877
90.58155465076022,432.3914128857251
111.2491535733703,464.16768758568
63.67366580609763,416.39121493967457
121.89924970785978,372.38853937848756
134.94548217634488,381.3190368411788
105.03932325883888,420.283926222587
159.8572690101898,388.3382376158748
200.11568267987815,460.14463194185123
253.01569200055974,512.8327998898611
255.0093464772836,457.1423067856425
232.76985503538103,457.6607620333582
268.9583438444028,411.4850745962382
248.58813011960265,435.97820909303897
213.89961542170963,462.04732021698385
128.68008539384275,417.9760253957179
168.6405968183073,354.52623053472894
112.92714069242413,375.21483265311497
96.10694819783396,399.27664314644335
122.27180076980213,372.61087743537814
106.84513394306454,391.63038360508295
137.66127617193322,372.99361386938654
149.69706970261663,364.0988647977098
179.45772971730807,410.3273231355188
187.8541719489761,397.8656669307236
147.59686625626253,422.8292110341802
197.2514928442504,437.6921021762545
188.24050010763565,446.2125866373353
189.50434170945408,468.88168723296116
89.63437649281487,389.3484982321766
82.90924921201552,444.37113758631904
53.43278102291664,430.04742178358674
67.20986172639942,410.94285834920925
47.90330567328577,410.2376381076941
85.75309961274964,437.73167210667293
116.13777014752931,410.4629370906759
106.3599908675052,473.25730511933966
203.2670214632887,448.8591497330091
214.09920133081326,484.2130589699579
196.06077269181017,496.73318110937544
216.24661592831612,455.67055691954783
226.63118424674053,508.1172062561594
225.14382774159833,530.0206316915917
201.95884981763285,441.0184239636527
122.600177499934,487.3702750794344
141.40651643523256,456.1287581580409
118.72132932867893,389.89225973327234
66.1071296516979,365.45627516163455
93.67979114422968,358.3957323665613
68.94427540660625,308.94345923456626
160.1225414981463,292.8619385223965
178.14510522606605,275.61849236538893
129.4208668598738,345.331755604877
113.09579923708996,368.85991837850736
210.07431301188228,326.3579729468055
228.97719257549568,388.04649422890503
230.631587448043,368.2998062991818
210.8901189662713,352.2688449181195
233.1393850272362,474.5740872860366
177.23148970208393,407.29924811261395
106.4772966526362,470.16676316885014
113.12739753195925,436.5866884596523
95.49511794900914,361.5187983371803
93.9950537270183,425.4009949864963
78.62454170435119,432.15888212191504
68.55093141429741,337.2534681739011
90.26979762778869,391.6310794542669
99.76965893701481,363.9873255531822
225.40501716940702,354.4124847766258
195.96454630155847,378.3216559181567
230.4058551462419,338.1855651587973
226.89119040614702,393.1576545639891
189.78696613201686,389.74404700071784
220.94983418530035,344.3625395933732
234.91458859829234,395.68596187129975
207.39844588269503,414.5660214774847
174.03222571753003,377.4936133437765
153.92395031499314,340.6307632669552
129.43063258439574,330.8166451261197
128.4431013711892,319.77246082537647
97.28454901126798,309.2925223060604
97.86790605858036,306.91552932568504
97.25258130720044,274.8866853361486
141.308793964917,276.8551043357294
187.47898832355122,294.3306992350311
212.2713636254141,367.93313968240693
223.89457897954082,334.93935515032837
222.47559067922634,361.0349275094302
229.5430130572483,375.60096596622265
197.65685845227355,401.78313148439133
174.91159217318184,369.00131878960667
171.47086074334695,310.23597868956284
105.36816411010886,287.35590096413694
135.44311210971114,310.55611991193143
135.01626529241742,329.81394102719355
160.2825196306337,355.12804092349234
164.05658423487614,328.2039250942242
235.58482734244325,388.1607389797796
266.96470871911487,349.08977538409346
298.91803818748986,395.5135850664986
241.76591251457185,408.9994711829588
215.1574786192528,384.19296682754464
260.2903651735789,375.1856403645704
251.13726468508662,343.75610195846343
202.82749826352256,318.52494820237894
182.63625945024972,306.4109684656155
168.12817222254796,329.17397626659755
212.3678460817874,353.58045795941274
226.85296557963406,298.31622023172645
228.9519720399498,321.39062209017277
238.31106493706093,336.4253251852343
292.10410884616977,332.8389460600737
246.9930883627674,361.65704752275394
254.5016969719567,357.83805124525
255.50185086848845,402.63909285333693
254.30043248432054,336.3055276046167
269.94860414710325,326.22069588377997
408.9005546309048,220.65839424452747
388.56330760091413,196.995227544155
369.62749354274865,193.7047198740251
327.4367520812439,142.55514778973702
316.4137733234117,122.22908727888546
320.9953805096529,96.83646740027382
306.7649846273869,102.83909456685848
371.5115019772142,78.3902227489504
385.97564027944566,59.193361824485805
429.50906091882337,50.54693571698499
391.39943090754025,72.97718261304624
432.50022886993344,99.32357380754888
501.2755238465427,58.677847072641896
505.70097435248687,130.38294182874296
494.42635364595117,210.51589063595634
469.97409904744734,250.4799293644722
482.1720757874614,224.28268967812602
404.06711468038816,218.70380786126242
358.36138039971576,172.31023156352506
306.84299009898444,107.75513766603876
276.9041790789101,10.123489175852114
234.69110839539582,54.831474916223215
297.52042887403877,39.67084108458181
326.2484931372431,32.94091675595661
364.86461789498713,37.58218502709303
439.25381869754676,-9.53583083071976
450.0008410874454,15.15628393601952
483.85383285320665,1.134668754234383
487.35966631614554,37.14285738095475
447.73519327125763,3.594260277462638
473.0437159566192,86.9330496679055
466.05850733609475,114.84169900223367
427.26239374036754,131.26408117577142
405.86027696337027,121.72408174980598
367.1923394655859,124.69290986481383
256.0095581652145,71.07679406016894
302.6349854402676,100.40627337710418
274.1965358116617,52.65122195004483
291.26100415059057,87.60672275975509
